PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39362061,Modification of MM force fields around heme-Fe in the CYP-ligand complex and ab initio FMO calculations for the complex,"Nagura Y, Sabishiro H, Chimura N, Yuguchi M, Tada N, Takimoto D, Kurita N.",J Mol Graph Model. 2024 Dec;133:108875. doi: 10.1016/j.jmgm.2024.108875. Epub 2024 Sep 26.,Nagura Y,J Mol Graph Model,2024,2024/10/3,,,10.1016/j.jmgm.2024.108875
39341787,Production of hybrid macrolide antibiotics by exploiting the specific substrate recognition characteristics of multifunctional cytochrome P450 enzyme MycG,"Iizaka Y, Yamada M, Koshino S, Takahashi S, Saito R, Sherman DH, Anzai Y.",FEMS Microbiol Lett. 2024 Jan 9;371:fnae080. doi: 10.1093/femsle/fnae080.,Iizaka Y,FEMS Microbiol Lett,2024,2024/9/28,,,10.1093/femsle/fnae080
39339576,Biosynthesis of Piceatannol from Resveratrol in Grapevine Can Be Mediated by Cresolase-Dependent Ortho-Hydroxylation Activity of Polyphenol Oxidase,"Martínez-Márquez A, Selles-Marchart S, Nájera H, Morante-Carriel J, Martínez-Esteso MJ, Bru-Martínez R.",Plants (Basel). 2024 Sep 18;13(18):2602. doi: 10.3390/plants13182602.,Martínez-Márquez A,Plants (Basel),2024,2024/9/28,PMC11434850,,10.3390/plants13182602
39324890,Effect of Cannabistilbene I in Attenuating Angiotensin II-Induced Cardiac Hypertrophy: Insights into Cytochrome P450s and Arachidonic Acid Metabolites Modulation,"Alammari AH, Isse FA, O'Croinin C, Davies NM, El-Kadi AOS.",Cannabis Cannabinoid Res. 2024 Sep 26. doi: 10.1089/can.2024.0148. Online ahead of print.,Alammari AH,Cannabis Cannabinoid Res,2024,2024/9/26,,,10.1089/can.2024.0148
39319420,Deep mutational scanning of CYP2C19 in human cells reveals a substrate specificity-abundance tradeoff,"Boyle GE, Sitko KA, Galloway JG, Haddox HK, Bianchi AH, Dixon A, Wheelock MK, Vandi AJ, Wang ZR, Thomson RES, Garge RK, Rettie AE, Rubin AF, Geck RC, Gillam EMJ, DeWitt WS, Matsen FA 4th, Fowler DM.",Genetics. 2024 Nov 6;228(3):iyae156. doi: 10.1093/genetics/iyae156.,Boyle GE,Genetics,2024,2024/9/25,PMC11538415,,10.1093/genetics/iyae156
39283556,The Role of Hydroxyeicosatetraenoic Acids in the Regulation of Inflammation in Bronchial Asthma,"Kytikova OY, Kovalenko IS, Novgorodtseva TP, Denisenko YK.",Dokl Biochem Biophys. 2024 Dec;519(1):512-520. doi: 10.1134/S1607672924701126. Epub 2024 Sep 16.,Kytikova OY,Dokl Biochem Biophys,2024,2024/9/16,,,10.1134/S1607672924701126
39218044,Functional significance of CYP2B6 gene rare allelic variants identified in Japanese individuals,"Yamazaki S, Hishinuma E, Suzuki Y, Ueda A, Kijogi C, Nakayoshi T, Oda A, Saito S, Tadaka S, Kinoshita K, Maekawa M, Sato Y, Kumondai M, Mano N, Hirasawa N, Hiratsuka M.",Biochem Pharmacol. 2024 Nov;229:116515. doi: 10.1016/j.bcp.2024.116515. Epub 2024 Aug 31.,Yamazaki S,Biochem Pharmacol,2024,2024/9/1,,,10.1016/j.bcp.2024.116515
39198700,A metalloenzyme platform for catalytic asymmetric radical dearomatization,"Fu W, Fu Y, Zhao Y, Wang H, Liu P, Yang Y.",Nat Chem. 2024 Dec;16(12):1999-2008. doi: 10.1038/s41557-024-01608-8. Epub 2024 Aug 28.,Fu W,Nat Chem,2024,2024/8/28,,,10.1038/s41557-024-01608-8
39188968,Investigation of in silico studies for cytochrome P450 isoforms specificity,"Wei Y, Palazzolo L, Ben Mariem O, Bianchi D, Laurenzi T, Guerrini U, Eberini I.",Comput Struct Biotechnol J. 2024 Aug 5;23:3090-3103. doi: 10.1016/j.csbj.2024.08.002. eCollection 2024 Dec.,Wei Y,Comput Struct Biotechnol J,2024,2024/8/27,PMC11347072,,10.1016/j.csbj.2024.08.002
39188949,11-Hydroxyeicosatetraenoics induces cellular hypertrophy in an enantioselective manner,"Helal SA, El-Sherbeni AA, El-Kadi AOS.",Front Pharmacol. 2024 Aug 12;15:1438567. doi: 10.3389/fphar.2024.1438567. eCollection 2024.,Helal SA,Front Pharmacol,2024,2024/8/27,PMC11345585,,10.3389/fphar.2024.1438567
39079373,Genetic variation present in the CYP3A4 gene in Ni-Vanuatu and Kenyan populations in malaria endemicity,"Musyoka K, Chan CW, Gutiérrez Rico EM, Omondi P, Kijogi C, Okai T, Kongere J, Ngara M, Kagaya W, Kanoi BN, Hiratsuka M, Kido Y, Gitaka J, Kaneko A.",Drug Metab Pharmacokinet. 2024 Aug;57:101029. doi: 10.1016/j.dmpk.2024.101029. Epub 2024 Jul 10.,Musyoka K,Drug Metab Pharmacokinet,2024,2024/7/30,,,10.1016/j.dmpk.2024.101029
38985576,Chemoenzymatic Synthesis of Fluorinated Mycocyclosin Enabled by the Engineered Cytochrome P450-Catalyzed Biaryl Coupling Reaction,"Li SH, Zhang X, Mei ZL, Liu Y, Ma JA, Zhang FG.",J Am Chem Soc. 2024 Jul 24;146(29):19962-19973. doi: 10.1021/jacs.4c03499. Epub 2024 Jul 10.,Li SH,J Am Chem Soc,2024,2024/7/10,,,10.1021/jacs.4c03499
38911541,Steroidogenic cytochrome P450 enzymes as drug target,"Kim C, Jeong E, Lee YB, Kim D.",Toxicol Res. 2024 Apr 22;40(3):325-333. doi: 10.1007/s43188-024-00237-0. eCollection 2024 Jul.,Kim C,Toxicol Res,2024,2024/6/24,PMC11187042,,10.1007/s43188-024-00237-0
38879464,Integrated pathway mining and selection of an artificial CYP79-mediated bypass to improve benzylisoquinoline alkaloid biosynthesis,"Takenaka M, Kamasaka K, Daryong K, Tsuchikane K, Miyazawa S, Fujihana S, Hori Y, Vavricka CJ, Hosoyama A, Kawasaki H, Shirai T, Araki M, Nakagawa A, Minami H, Kondo A, Hasunuma T.",Microb Cell Fact. 2024 Jun 15;23(1):178. doi: 10.1186/s12934-024-02453-7.,Takenaka M,Microb Cell Fact,2024,2024/6/15,PMC11179272,,10.1186/s12934-024-02453-7
38828082,Screening stabilisers for cyanoenone triterpenoid TX101 in rat plasma samples by simultaneous analysis of parent drug and the epoxidation product,"Tian L, Tian Q, Tamer E.",Anal Sci Adv. 2024 Jan 20;5(1-2):2300058. doi: 10.1002/ansa.202300058. eCollection 2024 Feb.,Tian L,Anal Sci Adv,2024,2024/6/3,PMC11142389,,10.1002/ansa.202300058
38820076,"Roles of Ferric Peroxide Anion Intermediates (Fe(3+)O(2) (-), Compound 0) in Cytochrome P450 19A1 Steroid Aromatization and a Cytochrome P450 2B4 Secosteroid Oxidation Model","Tateishi Y, McCarty KD, Martin MV, Yoshimoto FK, Guengerich FP.",Angew Chem Int Ed Engl. 2024 Aug 12;63(33):e202406542. doi: 10.1002/anie.202406542. Epub 2024 Jul 17.,Tateishi Y,Angew Chem Int Ed Engl,2024,2024/5/31,PMC11519728,NIHMS2030095,10.1002/anie.202406542
38749080,A remarkable peroxidase-like behavior of the catalase KatA from the pathogenic bacteria Helicobacter pylori: The oxidation reaction with formate as substrate and the stabilization of an [Fe(IV) = O Trp(•)] intermediate assessed by multifrequency EPR spectroscopy,"Switala J, Donald L, Ivancich A.",J Inorg Biochem. 2024 Aug;257:112594. doi: 10.1016/j.jinorgbio.2024.112594. Epub 2024 May 9.,Switala J,J Inorg Biochem,2024,2024/5/15,,,10.1016/j.jinorgbio.2024.112594
38723329,Cryoradiolysis of oxygenated cytochrome P450 17A1 with lyase substrates generates expected products,"Usai R, Denisov IG, Sligar SG, Kincaid JR.",J Inorg Biochem. 2024 Aug;257:112582. doi: 10.1016/j.jinorgbio.2024.112582. Epub 2024 May 4.,Usai R,J Inorg Biochem,2024,2024/5/9,,,10.1016/j.jinorgbio.2024.112582
38712793,A Cytochrome P450 Enzyme Catalyses Oxetane Ring Formation in Paclitaxel Biosynthesis,"Li C, Yin X, Wang S, Sui S, Liu J, Sun X, Di J, Chen R, Chen D, Han Y, Xie K, Dai J.",Angew Chem Int Ed Engl. 2024 Jul 29;63(31):e202407070. doi: 10.1002/anie.202407070. Epub 2024 Jun 14.,Li C,Angew Chem Int Ed Engl,2024,2024/5/7,,,10.1002/anie.202407070
38705413,Computational study on the endocrine-disrupting metabolic activation of Benzophenone-3 catalyzed by cytochrome P450 1A1: A QM/MM approach,"Wang Z, Zhang R, Li Y, Zhang Q, Wang W, Wang Q.",Chemosphere. 2024 Jun;358:142238. doi: 10.1016/j.chemosphere.2024.142238. Epub 2024 May 3.,Wang Z,Chemosphere,2024,2024/5/5,,,10.1016/j.chemosphere.2024.142238
38654452,Biosynthesis of Enfumafungin-type Antibiotic Reveals an Unusual Enzymatic Fusion Pattern and Unprecedented C-C Bond Cleavage,"Cao ZQ, Wang GQ, Luo R, Gao YH, Lv JM, Qin SY, Chen GD, Awakawa T, Bao XF, Mei QH, Yao XS, Hu D, Abe I, Gao H.",J Am Chem Soc. 2024 May 8;146(18):12723-12733. doi: 10.1021/jacs.4c02415. Epub 2024 Apr 23.,Cao ZQ,J Am Chem Soc,2024,2024/4/24,,,10.1021/jacs.4c02415
38635317,Discovery of (±)-Penindolenes Reveals an Unusual Indole Ring Cleavage Pathway Catalyzed by P450 Monooxygenase,"Meng LH, Awakawa T, Li XM, Quan Z, Yang SQ, Wang BG, Abe I.",Angew Chem Int Ed Engl. 2024 Jun 21;63(26):e202403963. doi: 10.1002/anie.202403963. Epub 2024 May 21.,Meng LH,Angew Chem Int Ed Engl,2024,2024/4/18,,,10.1002/anie.202403963
38613960,Microalgae enhanced co-metabolism of sulfamethoxazole using aquacultural feedstuff components: Co-metabolic pathways and enzymatic mechanisms,"Wang P, Li D, Sun M, Yin J, Zheng T.",J Hazard Mater. 2024 May 15;470:134279. doi: 10.1016/j.jhazmat.2024.134279. Epub 2024 Apr 10.,Wang P,J Hazard Mater,2024,2024/4/13,,,10.1016/j.jhazmat.2024.134279
38590712,Design and engineering of logic genetic-enzymatic gates based on the activity of the human CYP2C9 enzyme in permeabilized Saccharomyces cerevisiae cells,"Ashraf RA, Bureik M, Marchisio MA.",Synth Syst Biotechnol. 2024 Mar 29;9(3):406-415. doi: 10.1016/j.synbio.2024.03.013. eCollection 2024 Sep.,Ashraf RA,Synth Syst Biotechnol,2024,2024/4/9,PMC10999488,,10.1016/j.synbio.2024.03.013
38567500,Molecular Basis for Chemoselectivity Control in Oxidations of Internal Aryl-Alkenes Catalyzed by Laboratory Evolved P450s,"Soler J, Gergel S, Hammer SC, Garcia-Borràs M.",Chembiochem. 2024 May 17;25(10):e202400066. doi: 10.1002/cbic.202400066. Epub 2024 Apr 26.,Soler J,Chembiochem,2024,2024/4/3,,,10.1002/cbic.202400066
38458309,Comparing the oxidative functions of neutrophil myeloperoxidase and cytochrome P450 enzymes in drug metabolism,"Tran NH, Mosa FES, Barakat K, El-Kadi AOS, Whittal R, Siraki AG.",Chem Biol Interact. 2024 Apr 1;392:110942. doi: 10.1016/j.cbi.2024.110942. Epub 2024 Mar 7.,Tran NH,Chem Biol Interact,2024,2024/3/8,,,10.1016/j.cbi.2024.110942
38454191,An Enzymatic Carbon-Carbon Bond Cleavage and Aldol Reaction Cascade Converts an Angular Scaffold into the Linear Tetracyclic Core of Ochraceopones,"Li Y, Cong M, Wang W, Zhang X, Zhu Y, Song Y, Zhang W, Xiao H, Liu Y, Zhang C, Wang J, Yan Y.",Angew Chem Int Ed Engl. 2024 May 27;63(22):e202403365. doi: 10.1002/anie.202403365. Epub 2024 Mar 26.,Li Y,Angew Chem Int Ed Engl,2024,2024/3/7,,,10.1002/anie.202403365
38407531,Spin-Flip via Subtle Electronic Perturbation in Axially Ligated Diiron(III) Porphyrin Dimer,"Chakraborty P, Ghosh N, Awasthi N, Rath SP.",Chemistry. 2024 May 8;30(26):e202400266. doi: 10.1002/chem.202400266. Epub 2024 Mar 12.,Chakraborty P,Chemistry,2024,2024/2/26,,,10.1002/chem.202400266
38396748,The Multienzyme Complex Nature of Dehydroepiandrosterone Sulfate Biosynthesis,"Tumilovich A, Yablokov E, Mezentsev Y, Ershov P, Basina V, Gnedenko O, Kaluzhskiy L, Tsybruk T, Grabovec I, Kisel M, Shabunya P, Soloveva N, Vavilov N, Gilep A, Ivanov A.",Int J Mol Sci. 2024 Feb 8;25(4):2072. doi: 10.3390/ijms25042072.,Tumilovich A,Int J Mol Sci,2024,2024/2/24,PMC10889563,,10.3390/ijms25042072
38378469,Genetic control of abiotic stress-related specialized metabolites in sunflower,"Moroldo M, Blanchet N, Duruflé H, Bernillon S, Berton T, Fernandez O, Gibon Y, Moing A, Langlade NB.",BMC Genomics. 2024 Feb 20;25(1):199. doi: 10.1186/s12864-024-10104-9.,Moroldo M,BMC Genomics,2024,2024/2/20,PMC10877922,,10.1186/s12864-024-10104-9
38167410,Leveraging in Vitro Models for Clinically Relevant Rare CYP2D6 Variants in Pharmacogenomics,"Stern S, Hyland PL, Pacanowski M, Schuck RN.",Drug Metab Dispos. 2024 Feb 14;52(3):159-170. doi: 10.1124/dmd.123.001512.,Stern S,Drug Metab Dispos,2024,2024/1/3,PMC10877705,NIHMS1965911,10.1124/dmd.123.001512
38136604,Structure-Function Analysis of the Biotechnologically Important Cytochrome P450 107 (CYP107) Enzyme Family,"Padayachee T, Lamb DC, Nelson DR, Syed K.",Biomolecules. 2023 Dec 1;13(12):1733. doi: 10.3390/biom13121733.,Padayachee T,Biomolecules,2023,2023/12/23,PMC10741444,,10.3390/biom13121733
38098704,"Computationally guided bioengineering of the active site, substrate access pathway, and water channels of thermostable cytochrome P450, CYP175A1, for catalyzing the alkane hydroxylation reaction","Taher M, Dubey KD, Mazumdar S.",Chem Sci. 2023 Dec 4;14(48):14316-14326. doi: 10.1039/d3sc02857g. eCollection 2023 Dec 13.,Taher M,Chem Sci,2023,2023/12/15,PMC10718072,,10.1039/d3sc02857g
38036879,"The Cholesterol-5,6-Epoxide Hydrolase: A Metabolic Checkpoint in Several Diseases","de Medina P, Ayadi S, Diallo K, Buñay J, Pucheu L, Soulès R, Record M, Brillouet S, Vija L, Courbon F, Silvente-Poirot S, Poirot M.",Adv Exp Med Biol. 2024;1440:149-161. doi: 10.1007/978-3-031-43883-7_8.,de Medina P,Adv Exp Med Biol,2024,2023/11/30,,,10.1007/978-3-031-43883-7_8
38012074,Synthesis of Trifluoromethylated Monoterpenes by an Engineered Cytochrome P450,"Yuan F, Ding J, Sun Y, Liang J, Luo Y, Yu Y.",Chemistry. 2024 Feb 16;30(10):e202302936. doi: 10.1002/chem.202302936. Epub 2024 Jan 3.,Yuan F,Chemistry,2024,2023/11/27,,,10.1002/chem.202302936
38006947,The multistep oxidation of cholesterol to pregnenolone by human cytochrome P450 11A1 is highly processive,"McCarty KD, Liu L, Tateishi Y, Wapshott-Stehli HL, Guengerich FP.",J Biol Chem. 2024 Jan;300(1):105495. doi: 10.1016/j.jbc.2023.105495. Epub 2023 Nov 24.,McCarty KD,J Biol Chem,2024,2023/11/25,PMC10716780,,10.1016/j.jbc.2023.105495
37977737,Directed evolution for Si-C bond cleavage of volatile siloxanes in glass bioreactors,"Fulton TJ, Sarai NS, O'Meara RL, Arnold FH.",Methods Enzymol. 2023;693:375-403. doi: 10.1016/bs.mie.2023.09.014. Epub 2023 Oct 19.,Fulton TJ,Methods Enzymol,2023,2023/11/17,,,10.1016/bs.mie.2023.09.014
37977727,Directed evolution of P411 enzymes for amination of inert C-H bonds,"Das A, Gao S, Athavale SV, Alfonzo E, Long Y, Arnold FH.",Methods Enzymol. 2023;693:1-30. doi: 10.1016/bs.mie.2023.09.009. Epub 2023 Oct 13.,Das A,Methods Enzymol,2023,2023/11/17,,,10.1016/bs.mie.2023.09.009
37971151,An In Crystallo Reaction with an Engineered Cytochrome P450 Peroxygenase,"Lee JHZ, Bruning JB, Bell SG.",Chemistry. 2024 Feb 7;30(8):e202303335. doi: 10.1002/chem.202303335. Epub 2023 Dec 15.,Lee JHZ,Chemistry,2024,2023/11/16,,,10.1002/chem.202303335
37863485,Gene Polymorphisms and Drug-Drug Interactions Determine the Metabolic Profile of Blonanserin,"Ye F, Li X, Ni J, Xu X, Luo J, Zhong Y, Wang Y, Wang S, Zhang Y, Hu G, Qian J.",J Pharmacol Exp Ther. 2024 Jan 2;388(1):190-200. doi: 10.1124/jpet.123.001767.,Ye F,J Pharmacol Exp Ther,2024,2023/10/20,,,10.1124/jpet.123.001767
37844494,Phytodegradation of neonicotinoids in Cyperus papyrus from enzymatic and transcriptomic perspectives,"Liu H, Tang X, Tam NF, Li Q, Ruan W, Xu X, Gao Y, Yan Q, Zhang X, Dai Y, Yang Y.",J Hazard Mater. 2024 Jan 15;462:132715. doi: 10.1016/j.jhazmat.2023.132715. Epub 2023 Oct 5.,Liu H,J Hazard Mater,2024,2023/10/16,,,10.1016/j.jhazmat.2023.132715
37756205,Exploring the Diverse Landscape of Biaryl-Containing Peptides Generated by Cytochrome P450 Macrocyclases,"Nam H, An JS, Lee J, Yun Y, Lee H, Park H, Jung Y, Oh KB, Oh DC, Kim S.",J Am Chem Soc. 2023 Oct 11;145(40):22047-22057. doi: 10.1021/jacs.3c07140. Epub 2023 Sep 27.,Nam H,J Am Chem Soc,2023,2023/9/27,,,10.1021/jacs.3c07140
37737720,Novel Biocatalysts from Specialized Metabolism,"Kries H, Trottmann F, Hertweck C.",Angew Chem Int Ed Engl. 2024 Jan 22;63(4):e202309284. doi: 10.1002/anie.202309284. Epub 2023 Oct 25.,Kries H,Angew Chem Int Ed Engl,2024,2023/9/22,,,10.1002/anie.202309284
37696610,Ribociclib may potentiate rosuvastatin effect in causing late onset rhabdomyolysis,"Teo SW, Hayes T, Gome J.",BMJ Case Rep. 2023 Sep 11;16(9):e255632. doi: 10.1136/bcr-2023-255632.,Teo SW,BMJ Case Rep,2023,2023/9/11,PMC10496681,,10.1136/bcr-2023-255632
37611793,Modulatory effects of bisphenol A on the hepatic immune response,"Gebru YA, Pang MG.",Environ Pollut. 2023 Nov 1;336:122430. doi: 10.1016/j.envpol.2023.122430. Epub 2023 Aug 21.,Gebru YA,Environ Pollut,2023,2023/8/23,,,10.1016/j.envpol.2023.122430
37608991,Case report: application of pharmacogenetics in the personalized treatment of an elderly patient with a major depressive episode,"Pjevac M, Redenšek Trampuž S, Blagus T, Dolžan V, Bon J.",Front Psychiatry. 2023 Aug 7;14:1250253. doi: 10.3389/fpsyt.2023.1250253. eCollection 2023.,Pjevac M,Front Psychiatry,2023,2023/8/23,PMC10440381,,10.3389/fpsyt.2023.1250253
37586236,Direct interaction between the transmembrane helices stabilize cytochrome P450 2B4 and cytochrome b5 redox complex,"Sahoo BR, Ramamoorthy A.",Biophys Chem. 2023 Oct;301:107092. doi: 10.1016/j.bpc.2023.107092. Epub 2023 Aug 8.,Sahoo BR,Biophys Chem,2023,2023/8/16,PMC10838600,NIHMS1962655,10.1016/j.bpc.2023.107092
37569833,Enzymatic Redox Properties and Cytotoxicity of Irreversible Nitroaromatic Thioredoxin Reductase Inhibitors in Mammalian Cells,"Nemeikaitė-Čėnienė A, Misevičienė L, Marozienė A, Jonušienė V, Čėnas N.",Int J Mol Sci. 2023 Aug 5;24(15):12460. doi: 10.3390/ijms241512460.,Nemeikaitė-Čėnienė A,Int J Mol Sci,2023,2023/8/12,PMC10419047,,10.3390/ijms241512460
37555759,Insights into Substrate Recognition by the Unusual Nitrating Enzyme RufO,"Dratch BD, McWhorter KL, Blue TC, Jones SK, Horwitz SM, Davis KM.",ACS Chem Biol. 2023 Aug 18;18(8):1713-1718. doi: 10.1021/acschembio.3c00328. Epub 2023 Aug 9.,Dratch BD,ACS Chem Biol,2023,2023/8/9,PMC10442852,,10.1021/acschembio.3c00328
37483846,Identification and cross-species comparison of in vitro phase I brevetoxin (BTX-2) metabolites in northern Gulf of Mexico fish and human liver microsomes by UHPLC-HRMS(/MS),"Gwinn JK, Robertson A, Ivanova L, Fæste CK, Kryuchkov F, Uhlig S.",Toxicon X. 2023 Jun 29;19:100168. doi: 10.1016/j.toxcx.2023.100168. eCollection 2023 Sep.,Gwinn JK,Toxicon X,2023,2023/7/24,PMC10362319,,10.1016/j.toxcx.2023.100168
37453052,Regio- and stereoselective steroid hydroxylation by CYP109A2 from Bacillus megaterium explored by X-ray crystallography and computational modeling,"Jóźwik IK, Bombino E, Abdulmughni A, Hartz P, Rozeboom HJ, Wijma HJ, Kappl R, Janssen DB, Bernhardt R, Thunnissen AWH.",FEBS J. 2023 Oct;290(20):5016-5035. doi: 10.1111/febs.16906. Epub 2023 Jul 21.,Jóźwik IK,FEBS J,2023,2023/7/15,,,10.1111/febs.16906
37433085,"Enantio- and Diastereoenriched Enzymatic Synthesis of 1,2,3-Polysubstituted Cyclopropanes from (Z/E)-Trisubstituted Enol Acetates","Mao R, Wackelin DJ, Jamieson CS, Rogge T, Gao S, Das A, Taylor DM, Houk KN, Arnold FH.",J Am Chem Soc. 2023 Jul 26;145(29):16176-16185. doi: 10.1021/jacs.3c04870. Epub 2023 Jul 11.,Mao R,J Am Chem Soc,2023,2023/7/11,PMC10528827,NIHMS1916491,10.1021/jacs.3c04870
37424513,Regio- and stereo-selective 1β-hydroxylation of lithocholic acid by cytochrome P450 BM3 mutants,"Li H, Dai W, Qin S, Li S, Yu Y, Zhang L.",Biotechnol Bioeng. 2023 Aug;120(8):2230-2241. doi: 10.1002/bit.28491. Epub 2023 Jul 10.,Li H,Biotechnol Bioeng,2023,2023/7/10,,,10.1002/bit.28491
37339230,Dual factors required for cytochrome-P450-mediated hydrocarbon ring contraction in bacterial gibberellin phytohormone biosynthesis,"Nagel R, Alexander LE, Stewart CE Jr, Peters RJ.",Proc Natl Acad Sci U S A. 2023 Jun 27;120(26):e2221549120. doi: 10.1073/pnas.2221549120. Epub 2023 Jun 20.,Nagel R,Proc Natl Acad Sci U S A,2023,2023/6/20,PMC10293830,,10.1073/pnas.2221549120
37285043,Comprehensive in vitro analysis evaluating the variable drug-drug interaction risk of rifampicin compared to rifabutin,"Nilles J, Weiss J, Sauter M, Haefeli WE, Ruez S, Theile D.",Arch Toxicol. 2023 Aug;97(8):2219-2230. doi: 10.1007/s00204-023-03531-2. Epub 2023 Jun 7.,Nilles J,Arch Toxicol,2023,2023/6/7,PMC10322781,,10.1007/s00204-023-03531-2
